job_name,creation_time,distance_unit,included_speed_limits,network_name,zone_id,probe_source,map_version,date_range_id,date_range_name,date_from,date_to,time_set_id,time_set_name,time_set_days,time_set_times,segment_id,new_segment_id,street_name,frc,speed_limit,distance_m,geometry_wkt,harmonic_avg_speed,average_speed,median_speed,speed_stddev,sample_size,normalized_sample_size,average_travel_time,median_travel_time,travel_time_stddev,travel_time_ratio,p5,p10,p15,p20,p25,p30,p35,p40,p45,p50,p55,p60,p65,p70,p75,p80,p85,p90,p95
Monday,2026-01-13T11:49:03.844784692Z,KILOMETERS,ALL,ito,Asia/Kolkata,ALL,India_ind2025.12.1800-23.125-0 OPEN_DSEG,1,Monday,2024-08-01,2024-08-11,2,8:00-9:00,"FRIDAY,MONDAY,SATURDAY,SUNDAY,THURSDAY,TUESDAY,WEDNESDAY",08:00-09:00,1285520201994141696,1285520201994141696,,3,45,12.6,"LINESTRING(77.25221 28.63084,77.25208 28.63087)",0.0,0.0,0.0,,0,0.0,0.0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monday,2026-01-13T11:49:03.844784692Z,KILOMETERS,ALL,ito,Asia/Kolkata,ALL,India_ind2025.12.1800-23.125-0 OPEN_DSEG,1,Monday,2024-08-01,2024-08-11,3,9:00-10:00,"FRIDAY,MONDAY,SATURDAY,SUNDAY,THURSDAY,TUESDAY,WEDNESDAY",09:00-10:00,1285520201994141696,1285520201994141696,,3,45,12.6,"LINESTRING(77.25221 28.63084,77.25208 28.63087)",0.0,0.0,0.0,,0,0.0,0.0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monday,2026-01-13T11:49:03.844784692Z,KILOMETERS,ALL,ito,Asia/Kolkata,ALL,India_ind2025.12.1800-23.125-0 OPEN_DSEG,1,Monday,2024-08-01,2024-08-11,2,8:00-9:00,"FRIDAY,MONDAY,SATURDAY,SUNDAY,THURSDAY,TUESDAY,WEDNESDAY",08:00-09:00,1285520201994141697,1285520201994141697,,3,45,12.6,"LINESTRING(77.25208 28.63087,77.25221 28.63084)",0.0,0.0,0.0,,0,0.0,0.0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monday,2026-01-13T11:49:03.844784692Z,KILOMETERS,ALL,ito,Asia/Kolkata,ALL,India_ind2025.12.1800-23.125-0 OPEN_DSEG,1,Monday,2024-08-01,2024-08-11,3,9:00-10:00,"FRIDAY,MONDAY,SATURDAY,SUNDAY,THURSDAY,TUESDAY,WEDNESDAY",09:00-10:00,1285520201994141697,1285520201994141697,,3,45,12.6,"LINESTRING(77.25208 28.63087,77.25221 28.63084)",0.0,0.0,0.0,,0,0.0,0.0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monday,2026-01-13T11:49:03.844784692Z,KILOMETERS,ALL,ito,Asia/Kolkata,ALL,India_ind2025.12.1800-23.125-0 OPEN_DSEG,1,Monday,2024-08-01,2024-08-11,2,8:00-9:00,"FRIDAY,MONDAY,SATURDAY,SUNDAY,THURSDAY,TUESDAY,WEDNESDAY",08:00-09:00,1285520202007379968,1285520202007379968,AH1,1,60,137.2,"LINESTRING(77.24677 28.631,77.24672 28.63224)",55.8,57.3,57.8,8.9,320,0.4161,8.86,8.55,1.65,1.0,43,47,48,50,52,53,54,55,56,58,59,60,61,62,63,65,66,68,71
Monday,2026-01-13T11:49:03.844784692Z,KILOMETERS,ALL,ito,Asia/Kolkata,ALL,India_ind2025.12.1800-23.125-0 OPEN_DSEG,1,Monday,2024-08-01,2024-08-11,3,9:00-10:00,"FRIDAY,MONDAY,SATURDAY,SUNDAY,THURSDAY,TUESDAY,WEDNESDAY",09:00-10:00,1285520202007379968,1285520202007379968,AH1,1,60,137.2,"LINESTRING(77.24677 28.631,77.24672 28.63224)",52.5,55.2,56.2,10.7,350,0.4551,9.41,8.79,2.65,1.06,37,42,45,47,49,51,52,54,55,56,57,58,60,61,62,63,64,67,72
Monday,2026-01-13T11:49:03.844784692Z,KILOMETERS,ALL,ito,Asia/Kolkata,ALL,India_ind2025.12.1800-23.125-0 OPEN_DSEG,1,Monday,2024-08-01,2024-08-11,2,8:00-9:00,"FRIDAY,MONDAY,SATURDAY,SUNDAY,THURSDAY,TUESDAY,WEDNESDAY",08:00-09:00,1285520202015342592,1285520202015342592,New Patparganj Road,3,70,43.66,"LINESTRING(77.27788 28.62864,77.27759 28.62894)",23.4,27.7,25.6,10.2,87,0.1131,6.73,6.14,3.55,1.0,13,16,17,19,21,22,23,24,25,26,26,30,31,32,34,36,38,43,45
Monday,2026-01-13T11:49:03.844784692Z,KILOMETERS,ALL,ito,Asia/Kolkata,ALL,India_ind2025.12.1800-23.125-0 OPEN_DSEG,1,Monday,2024-08-01,2024-08-11,3,9:00-10:00,"FRIDAY,MONDAY,SATURDAY,SUNDAY,THURSDAY,TUESDAY,WEDNESDAY",09:00-10:00,1285520202015342592,1285520202015342592,New Patparganj Road,3,70,43.66,"LINESTRING(77.27788 28.62864,77.27759 28.62894)",16.3,22.2,22.0,9.6,80,0.104,9.62,7.14,7.84,1.43,5,9,13,14,16,17,19,20,20,22,23,24,24,26,28,29,31,33,41
Monday,2026-01-13T11:49:03.844784692Z,KILOMETERS,ALL,ito,Asia/Kolkata,ALL,India_ind2025.12.1800-23.125-0 OPEN_DSEG,1,Monday,2024-08-01,2024-08-11,2,8:00-9:00,"FRIDAY,MONDAY,SATURDAY,SUNDAY,THURSDAY,TUESDAY,WEDNESDAY",08:00-09:00,1285520202032283648,1285520202032283648,Vikas Marg,2,50,39.92,"LINESTRING(77.27681 28.63013,77.27713 28.63035)",25.5,28.2,26.5,13.5,87,0.1131,5.64,5.42,1.52,1.0,17,20,21,21,22,23,24,25,25,27,27,28,28,29,30,32,33,37,43
Monday,2026-01-13T11:49:03.844784692Z,KILOMETERS,ALL,ito,Asia/Kolkata,ALL,India_ind2025.12.1800-23.125-0 OPEN_DSEG,1,Monday,2024-08-01,2024-08-11,3,9:00-10:00,"FRIDAY,MONDAY,SATURDAY,SUNDAY,THURSDAY,TUESDAY,WEDNESDAY",09:00-10:00,1285520202032283648,1285520202032283648,Vikas Marg,2,50,39.92,"LINESTRING(77.27681 28.63013,77.27713 28.63035)",19.2,21.8,21.0,7.0,115,0.1495,7.47,6.84,3.23,1.33,11,14,15,16,17,18,19,20,20,21,22,23,24,25,26,28,29,30,34
